dependency_name,packages_declaring,used,dependabot_bumps_24m,removal_candidate,removal_summary,overlap_group,consolidation_note,replacement_effort,how_to_remove,replacement_dependency,replacement_reason
@apidevtools/json-schema-ref-parser,cli-kit,yes,13,yes,"Easy win – small effort, cuts 13 dependabot bumps",validation,drop with ajv – only used to pre-process schemas before Ajv; inline $ref resolution (~30 lines),small,"Replace the single $RefParser.dereference() call in normaliseJsonSchema() with a small (~30-line) recursive function that walks the schema object, resolves internal $ref strings against the root schema (e.g. '#/definitions/Foo'), and substitutes them inline. No external resolution is needed (the existing call already passes {resolve: {external: false}}). After implementing and testing the inline resolver, remove the @apidevtools/json-schema-ref-parser dependency from packages/cli-kit/package.json and run pnpm install.",none,"The dependency is used for a single, narrow operation: in-memory dereferencing of internal $ref pointers with no external resolution. This is straightforwardly replaceable with a small recursive utility function, making the dependency unnecessary. Inlining also eliminates a transitive dependency chain and removes a large package from the bundle."
@babel/core,eslint-plugin-cli,no,17,yes,Remove – unused,,,n/a,"Remove the '@babel/core' entry from the 'dependencies' field in packages/eslint-plugin-cli/package.json, then remove it from the sharedDependencies array in packages/features/steps/node-deps.steps.ts and run pnpm install to update pnpm-lock.yaml.",none,"@babel/core is never imported or required at runtime; the sole string reference '@babel/no-unused-expressions' is an ESLint rule name that does not need @babel/core to be installed (it is satisfied by @babel/eslint-plugin if needed, or can simply be removed since the rule is already turned off)."
@cucumber/messages,@shopify/features,no,0,yes,Remove – unused,,,n/a,"Remove the explicit '@cucumber/messages': '30.1.0' entry from packages/features/package.json. The version will then be resolved transitively through @cucumber/cucumber. If the peer version requirement is already satisfied by @cucumber/cucumber's own dependency tree, the explicit pin is unnecessary. Verify compatibility with pnpm after removal.",none,Not directly imported anywhere in source code. The explicit pin in package.json exists only to satisfy peer dependency resolution. Removing the explicit declaration and relying on the transitive resolution from @cucumber/cucumber is safe and reduces direct dependency surface.
@cucumber/pretty-formatter,@shopify/features,yes,42,yes,"Quick win – trivial removal, cuts 42 dependabot bumps",,,trivial,"Change the format entry in packages/features/cucumber.js from '@cucumber/pretty-formatter' to one of the built-in cucumber-js formatters such as 'progress' or 'summary', then remove the '@cucumber/pretty-formatter' entry from devDependencies in packages/features/package.json. Alternatively, '@cucumber/pretty-formatter' could be replaced with a different community formatter by swapping the string and dependency.",none,"The only usage is a single string in the cucumber.js config file selecting the output format. Switching to a built-in cucumber-js formatter (progress, summary, html, json) requires a one-line config change and removes the dependency entirely. The effort is trivial."
@iarna/toml,cli-kit,yes,0,yes,"Quick win – trivial removal, no upstream churn",config-parsers,"replace with smol-toml – drop-in, actively maintained",trivial,"Replace the single import in codec.ts with a maintained alternative such as `smol-toml` (actively maintained, TOML 1.0 compliant, zero-dependency). The API surface needed is only parse(string) and stringify(object), both of which smol-toml provides. Steps: (1) add smol-toml to cli-kit dependencies, (2) update the import in codec.ts from `@iarna/toml` to `smol-toml`, (3) adjust the type cast on line 25 to use smol-toml's exported map type, (4) remove @iarna/toml from cli-kit/package.json and run pnpm install.",smol-toml,"@iarna/toml has had zero releases in the past 24 months (last release 2.2.5 was in 2019) and is effectively unmaintained. smol-toml is actively maintained, fully TOML 1.0 compliant, zero-dependency, and provides the exact same parse/stringify API surface that codec.ts needs."
@luckycatfactory/esbuild-graphql-loader,app,yes,0,yes,"Easy win – small effort, no upstream churn",,,small,"Replace the import and usage of graphqlLoaderPlugin.default() in packages/app/src/cli/services/extensions/bundle.ts with an inline esbuild plugin. A graphql loader plugin is ~20 lines of code: an onLoad handler for the filter /\.graphql$/ that reads the file, wraps it in a gql template literal (or uses graphql-tag's gql), and exports the parsed DocumentNode. Update the two test mocks accordingly. Remove the dependency from packages/app/package.json and run pnpm install.",none,"The package has had zero releases in the last 24 months (last release was 3.8.1 on 2022-12-26, over 3 years ago) and shows no signs of active maintenance. The functionality it provides — an esbuild plugin that transforms .graphql files into importable JS modules — is straightforward (~20 lines) and can be inlined directly in bundle.ts using the graphql package already present in the dependency tree, eliminating the abandoned third-party dependency entirely."
@oclif/plugin-commands,cli,yes,2,yes,"Easy win – small effort, cuts 2 dependabot bumps",,,small,"The plugin contributes only one command: 'commands'. To remove the dependency, implement a first-party replacement command in packages/cli/src/cli/commands/commands.ts that reads this.config.commands and renders a table (the existing cli-kit UI primitives already support this). The replacement logic is ~50–80 lines of TypeScript — straightforward given that the oclif implementation itself is only ~140 lines of compiled JS. Remove the import and the customPluginName iteration block from index.ts, remove the package from packages/cli/package.json, and add the new command to the COMMANDS map.",none,The sole contribution is a single 'commands' listing command. This can be implemented in-house with negligible effort using cli-kit's existing renderTable/renderInfo primitives and the oclif Config.commands array that is already available at runtime. Removing it also eliminates an external dependency that injects its own lodash/object-treeify transitive dependencies.
@opentelemetry/semantic-conventions,cli-kit,yes,56,yes,"Easy win – small effort, cuts 56 dependabot bumps",,,small,"SemanticResourceAttributes.SERVICE_NAME is simply the string literal 'service.name'. It could be inlined as a string constant in DefaultMeterProvider.ts with a one-line change, eliminating this dependency in isolation without touching any other file. However, the broader OTel stack it supports still depends on the other five packages.",none,"The single used value (SERVICE_NAME = 'service.name') can be inlined as a string literal. Removing this package requires only a one-line change in DefaultMeterProvider.ts, making it the only member of the OTel group that is a genuine removal candidate on its own merits."
@testing-library/jest-dom,ui-extensions-dev-console,yes,0,yes,"Easy win – small effort, no upstream churn",test-dom,inline – replace toBeInTheDocument() etc. with Vitest native assertions,small,"1. Remove `@testing-library/jest-dom` from devDependencies in packages/ui-extensions-dev-console/package.json. 2. Remove the import line from packages/ui-extensions-dev-console/tests/setup.ts. 3. Replace any `toBeInTheDocument()` assertions in tests with standard Vitest alternatives: `not.toBeNull()` or checking `screen.queryByRole(...)` against null. A grep for `toBeInTheDocument` across the dev-console test files shows it is used in at least Extensions.test.tsx; a full search is recommended before removal. 4. Replace any other jest-dom matchers (toHaveTextContent, toHaveClass, toBeDisabled, etc.) found in the test files with equivalent Vitest DOM assertions or manual element property checks.",none,"The dependency is used only in a single setup file to extend Vitest matchers. The jest-dom matchers it provides (toBeInTheDocument, toHaveTextContent, etc.) can be replaced with native Vitest/DOM assertions at small effort. The scope is limited to one package and the changes are mechanical. Vitest itself has good built-in support for DOM assertions with jsdom, making the jest-dom extension layer unnecessary."
@types/brotli,cli-kit,yes,0,yes,"Easy win – small effort, no upstream churn",,,small,"The 'brotli' package (devongovett/brotli.js) is a pure-JS port, last published in 2015 (v1.3.3). Node.js has had native brotli compression in its built-in 'zlib' module since v10.16.0 (via zlib.brotliCompress/zlib.brotliCompressSync). Replacing the import with Node's built-in zlib would eliminate both 'brotli' and '@types/brotli'. The call site is small (one compress call with quality/mode options). Effort is 'small': one production usage in archiver.ts and one test file to update.",none,"The 'brotli' package dependency (and thus @types/brotli) can be eliminated by switching to Node.js's built-in zlib.brotliCompress/brotliCompressSync, which requires no @types package and is available in all Node versions this project supports. This is a small refactor with a well-understood replacement."
